load data...
Start train...
2022-01-14 18:53:31.696341 Epoch [014/200], Step [0040/0253], Total_loss: 1.8787 Loss1: 1.4610 Loss2: 0.4177
2022-01-14 18:53:52.174446 Epoch [014/200], Step [0060/0253], Total_loss: 2.3193 Loss1: 1.8012 Loss2: 0.5181
2022-01-14 18:54:12.842641 Epoch [014/200], Step [0080/0253], Total_loss: 1.7659 Loss1: 1.3606 Loss2: 0.4053
2022-01-14 18:54:33.372335 Epoch [014/200], Step [0100/0253], Total_loss: 1.8281 Loss1: 1.4225 Loss2: 0.4056
2022-01-14 18:54:54.238141 Epoch [014/200], Step [0120/0253], Total_loss: 1.8421 Loss1: 1.4197 Loss2: 0.4224
2022-01-14 18:55:14.927996 Epoch [014/200], Step [0140/0253], Total_loss: 2.5529 Loss1: 1.9465 Loss2: 0.6064
2022-01-14 18:55:35.432879 Epoch [014/200], Step [0160/0253], Total_loss: 1.6703 Loss1: 1.2857 Loss2: 0.3846
2022-01-14 18:55:56.214192 Epoch [014/200], Step [0180/0253], Total_loss: 2.0686 Loss1: 1.5906 Loss2: 0.4780
2022-01-14 18:56:16.736810 Epoch [014/200], Step [0200/0253], Total_loss: 1.7404 Loss1: 1.3558 Loss2: 0.3846
2022-01-14 18:56:37.435272 Epoch [014/200], Step [0220/0253], Total_loss: 1.8379 Loss1: 1.4049 Loss2: 0.4330
