load data...
Start train...
2022-01-19 12:41:04.930031 Epoch [010/200], Step [0180/0253], Total_loss: 2.0235 Loss1: 1.5538 Loss2: 0.4697
2022-01-19 12:41:13.757717 Epoch [010/200], Step [0200/0253], Total_loss: 2.0779 Loss1: 1.5991 Loss2: 0.4788
2022-01-19 12:41:22.786982 Epoch [010/200], Step [0220/0253], Total_loss: 1.5914 Loss1: 1.2343 Loss2: 0.3570
2022-01-19 12:41:31.865747 Epoch [010/200], Step [0240/0253], Total_loss: 2.2265 Loss1: 1.7175 Loss2: 0.5089
2022-01-19 12:41:37.512655 Epoch [010/200], Step [0253/0253], Total_loss: 2.3290 Loss1: 1.7790 Loss2: 0.5500
Epoch: 10, MAE: 0.04632128838434243, bestMAE: 0.04775052808099798, bestEpoch: 8.
Save state_dict successfully! Best epoch:10.
2022-01-19 12:44:19.238786 Epoch [011/200], Step [0001/0253], Total_loss: 1.7941 Loss1: 1.3786 Loss2: 0.4155
2022-01-19 12:44:34.001415 Epoch [011/200], Step [0020/0253], Total_loss: 1.9168 Loss1: 1.4727 Loss2: 0.4441
2022-01-19 12:44:42.756570 Epoch [011/200], Step [0040/0253], Total_loss: 1.8255 Loss1: 1.4033 Loss2: 0.4222
2022-01-19 12:44:51.553193 Epoch [011/200], Step [0060/0253], Total_loss: 2.1893 Loss1: 1.6630 Loss2: 0.5263
2022-01-19 12:45:00.232747 Epoch [011/200], Step [0080/0253], Total_loss: 1.6278 Loss1: 1.2519 Loss2: 0.3760
2022-01-19 12:45:09.055519 Epoch [011/200], Step [0100/0253], Total_loss: 1.8032 Loss1: 1.3807 Loss2: 0.4225
2022-01-19 12:45:17.698270 Epoch [011/200], Step [0120/0253], Total_loss: 1.9678 Loss1: 1.5023 Loss2: 0.4656
2022-01-19 12:45:26.711240 Epoch [011/200], Step [0140/0253], Total_loss: 1.3513 Loss1: 1.0376 Loss2: 0.3138
2022-01-19 12:45:35.597201 Epoch [011/200], Step [0160/0253], Total_loss: 1.7508 Loss1: 1.3483 Loss2: 0.4025
2022-01-19 12:45:44.548560 Epoch [011/200], Step [0180/0253], Total_loss: 2.1442 Loss1: 1.6417 Loss2: 0.5025
2022-01-19 12:45:53.518504 Epoch [011/200], Step [0200/0253], Total_loss: 2.1025 Loss1: 1.6135 Loss2: 0.4890
2022-01-19 12:46:02.347680 Epoch [011/200], Step [0220/0253], Total_loss: 1.9241 Loss1: 1.4682 Loss2: 0.4559
2022-01-19 12:46:11.301756 Epoch [011/200], Step [0240/0253], Total_loss: 2.2349 Loss1: 1.6989 Loss2: 0.5359
2022-01-19 12:46:17.010815 Epoch [011/200], Step [0253/0253], Total_loss: 2.1953 Loss1: 1.6871 Loss2: 0.5082
